epsilon_beta1,epsilon_beta2,F_preparation,F_after_hold,minimum_F_hold,C_after_hold,norm_error,photonic_population_after_hold
0.05,-0.06,0.995675296677997,0.995617529022722,0.995539295892014,0.995599058835349,1.27897692436818e-13,0.00436400078998077
0.06,-0.06,0.995658736255347,0.995587961514738,0.995495018604423,0.995568720157513,4.81836792687318e-14,0.00439279712800885
0.07,-0.06,0.995632765829095,0.995549352226572,0.995442062112104,0.995529303778806,1.72972747236599e-13,0.00443059932549984
0.08,-0.06,0.99559773246365,0.995502051038453,0.995380779367568,0.995481158803657,2.37365682664858e-13,0.00447705672651671
0.09,-0.06,0.995553990559763,0.995446414888075,0.995311530092049,0.995424641421981,2.90434343241941e-13,0.00453181164554627
0.1,-0.06,0.995501901024488,0.99538280694111,0.995234679943852,0.995360114083311,1.37889699658444e-13,0.00459450020108695
-0.1,-0.05,0.994636556708682,0.994813523877432,0.994401840319586,0.994803698752923,2.40474307133809e-13,0.00517665099829402
-0.09,-0.05,0.994795579418224,0.9949546343041,0.9945867581005,0.994944485440244,2.64566146768175e-13,0.00503521683178492
-0.08,-0.05,0.994941409007166,0.995082843524111,0.994758146387455,0.995072348236975,2.8022029141539e-13,0.0049066611884736
-0.07,-0.05,0.995074190531644,0.995198303553861,0.994916139224493,0.995187438355448,2.18824958153618e-13,0.00479083124750812
-0.06,-0.05,0.99519408723329,0.99530118432861,0.995060889207213,0.99528992490773,4.52970994047064e-14,0.00468755625048737
-0.05,-0.05,0.995301279981205,0.995391673138392,0.9951925669339,0.995379994343726,1.22568621918617e-13,0.00459664806705935
-0.04,-0.05,0.995395966685069,0.995469974034911,0.995311360417377,0.995457849860472,1.02140518265514e-13,0.00451790179073912
-0.03,-0.05,0.995478361652635,0.995536307201768,0.995417474466927,0.995523710774916,1.72084568816899e-14,0.00445109637138124
-0.02,-0.05,0.995548694963164,0.995590908310759,0.995511130042596,0.995577811882935,3.06421554796543e-14,0.00439599526144707
-0.01,-0.05,0.995607211776823,0.995634027835557,0.995592563592406,0.995620402775902,2.06501482580279e-14,0.00435234710480179
0,-0.05,0.995654171637372,0.995665930354535,0.995654171637372,0.995651747146536,5.92303983637521e-13,0.00431988643687689
0.01,-0.05,0.995689847754924,0.995686893831214,0.995670994375705,0.995672122072397,1.84297022087776e-14,0.00429833440998614
0.02,-0.05,0.995714526249319,0.995697208863535,0.995665471733105,0.99568181726863,1.55431223447522e-14,0.00428739954157387
0.03,-0.05,0.995728505410459,0.995697177930689,0.995649744173963,0.995681134337942,1.11022302462516e-14,0.00428677847657014
0.04,-0.05,0.995732094908031,0.995687114613848,0.995624334853968,0.995670385994889,8.72635297355373e-14,0.00429615676727991
0.05,-0.05,0.995725615008959,0.995667342809609,0.995589571587021,0.99564989528282,1.30562227695918e-13,0.00431520966372757
0.06,-0.05,0.995709395760531,0.99563819592043,0.995545791404463,0.995619994767881,5.12923037376822e-14,0.00434360292699549
0.07,-0.05,0.995683776203993,0.995600016051351,0.995493339744941,0.995581025739366,1.71862524211974e-13,0.00438099363650038
0.08,-0.05,0.995649103532354,0.995553153185636,0.995432569639066,0.995533337388986,2.33146835171283e-13,0.00442703101748545
0.09,-0.05,0.995605732272275,0.99549796436161,0.995363840884147,0.995477285991365,2.87880830285303e-13,0.00448135726786123
0.1,-0.05,0.995554023453953,0.995434812843402,0.995287519212992,0.995413234078414,1.37112543541207e-13,0.00454360839160794
-0.1,-0.04,0.994681710876016,0.994856863837975,0.994447726223125,0.994847821539639,2.40030217923959e-13,0.00513409386391449
-0.09,-0.04,0.994840947298068,0.994998277851746,0.994632752138148,0.994988922091092,2.62789789928775e-13,0.00499236638733685
-0.08,-0.04,0.994986998210345,0.995126797817906,0.994804256707099,0.995117106489768,2.74336109384876e-13,0.00486351085368046
-0.07,-0.04,0.995120008823626,0.995242575874435,0.994962374176189,0.995232526060257,2.18047802036381e-13,0.00474737431117079
-0.06,-0.04,0.995240142533404,0.995345782077797,0.995107257342048,0.995335350025852,4.84057238736568e-14,0.00464378587023617
-0.05,-0.04,0.995347580361713,0.995436603838695,0.995239077002658,0.995425764946533,1.25455201782643e-13,0.00455255726926568
-0.04,-0.04,0.995442520370105,0.995515245328833,0.995358021369112,0.995503974128143,1.0946799022804e-13,0.00447348347057873
-0.03,-0.04,0.995525177017076,0.995581926851068,0.995464295447432,0.995570196995133,1.75415237890775e-14,0.00440634329299649
-0.02,-0.04,0.995595780531266,0.995636884195694,0.995558120392588,0.995624668449592,3.17523785042795e-14,0.00435090005823207
